,Symbol,Price,One_Year_return,One_Year_return_percentile,Six_month_return,Six_month_return_percentile,Three_month_return,Three_month_return_percentile,One_month_return,One_month_return_percentile,HQM_Score
0,ADANIPORTS,723.25,199.8793,94.0,118.098,98.0,54.0775,98.0,10.2752,92.0,95.5
1,GRASIM,1375.80,192.6554,90.0,86.1126,88.0,49.2752,96.0,15.3439,100.0,93.5
2,ULTRACEMCO,6627.25,109.1123,72.0,67.0321,72.0,27.9096,88.0,10.6141,96.0,82.0
3,M&M,859.45,204.4444,96.0,42.0957,60.0,19.8723,78.0,7.1181,80.0,78.5
4,TATAMOTORS,317.45,352.4279,100.0,141.1478,100.0,74.8436,100.0,-0.4645,10.0,77.5
5,AXISBANK,749.05,100.7256,68.0,79.1475,86.0,22.6126,84.0,4.96,58.0,74.0
6,HINDALCO,331.50,257.473,98.0,95.1996,90.0,41.4883,94.0,0.0294,12.0,73.5
7,LT,1513.95,96.5644,58.0,72.3272,80.0,18.3753,76.0,5.6638,66.0,70.0
8,UPL,618.55,92.6034,52.0,23.5434,32.0,33.2261,90.0,10.6402,98.0,68.0
9,INFY,1375.30,118.4985,80.0,37.1538,54.0,8.9465,48.0,9.1638,88.0,67.5
10,GAIL,147.30,96.6449,60.0,73.4179,82.0,22.1368,82.0,4.1608,40.0,66.0
11,ONGC,115.20,83.0107,48.0,68.0376,74.0,25.0547,86.0,4.8291,54.0,65.5
12,ICICIBANK,613.45,93.2355,56.0,76.3495,84.0,16.9237,72.0,4.6591,50.0,65.5
13,SBIN,381.10,96.952,62.0,109.1154,96.0,41.0075,92.0,-0.628,8.0,64.5
14,TATASTEEL,720.85,175.6954,86.0,101.3899,94.0,12.5612,62.0,1.3074,16.0,64.5
