Symbol,Price_in_Rupee,Shares_to_Buy,One_Year_Return
UPL,624.95,3,5.11
GAIL,149.05,13,63.08
LT,1510.00,1,39.65
ONGC,117.00,17,68.08
SBILIFE,969.80,2,19.13
HCLTECH,976.10,2,79.37
IOC,100.60,19,33.36
AXISBANK,744.60,2,19.54
NTPC,109.05,18,5.54
SBIN,387.90,5,15.02
HDFCLIFE,740.00,2,42.99
COALINDIA,151.90,13,15.0
INFY,1344.00,1,90.48
POWERGRID,215.50,9,19.6
BPCL,445.45,4,1951.67
M&M,849.60,2,64.05
TECHM,995.25,2,43.08
RELIANCE,2190.55,0,1.02
CIPLA,799.20,2,1.44
SUNPHARMA,612.00,3,55.88
NESTLEIND,16875.00,0,5.36
GRASIM,1367.05,1,115.17
TATASTEEL,708.50,2,118.81
DIVISLAB,3501.40,0,61.52
JSWSTEEL,401.50,4,75.37
TCS,3060.50,0,54.01
EICHERMOT,2590.70,0,45.09
MARUTI,7300.00,0,17.29
HEROMOTOCO,3448.30,0,1.61
ADANIPORTS,748.00,2,133.01
ICICIBANK,624.05,3,36.63
DRREDDY,4454.00,0,45.23
ASIANPAINT,2420.00,0,29.97
ITC,207.65,9,17.57
HINDALCO,333.15,6,15.01
KOTAKBANK,1974.95,1,24.72
HDFCBANK,1563.95,1,40.51
WIPRO,422.40,4,94.98
BRITANNIA,3438.50,0,14.23
TATAMOTORS,315.15,6,200.48
HDFC,2578.00,0,27.24
TITAN,1457.35,1,20.6
BAJAJFINSV,9975.00,0,21.87
HINDUNILVR,2197.00,0,3.41
BHARTIARTL,522.40,3,5.27
BAJAJ-AUTO,3795.70,0,47.7
ULTRACEMCO,6703.60,0,64.76
BAJFINANCE,5414.00,0,34.04
SHREECEM,27250.00,0,24.97
INDUSINDBK,1025.20,1,15.16
