,Ticker,Price,One-Year_Price_Return,Number_of_Shares_to_Buy
0,FCX,35.43,2.8118066864419724,564
1,VIAC,74.58,2.604737389745422,268
2,CARR,36.95,2.174131004974948,541
3,SIVB,517.36,2.0055208324837546,38
4,URI,315.83,1.6325982481939376,63
5,DISCA,65.49,1.572238461938258,305
6,LB,58.2,1.539929294239616,343
7,ZBRA,489.45,1.4117656253689528,40
8,ALGN,542.33,1.3886812565161708,36
9,NWSA,24.81,1.270309710985241,806
10,DISCK,55.0,1.2598175098350255,363
11,PWR,86.52,1.219598992135823,231
12,DE,366.79,1.217503877827366,54
13,PYPL,241.16,1.159329768287383,82
14,MOS,31.33,1.1407855815407875,638
15,NWS,23.9,1.125786285530503,836
16,EMN,119.7,1.1233268929698685,167
17,FDX,264.31,1.090078730957458,75
18,GPS,27.64,1.0897136979419682,723
19,DVN,26.34,1.0622110328634216,759
20,AMAT,115.27,1.0236700503036502,173
21,IDXX,499.7,1.0082853345551703,40
22,TWTR,69.75,1.0061480582506204,286
23,MS,84.42,1.0024061844033814,236
24,CDNS,127.42,0.9773452904945215,156
25,SCHW,65.67,0.970050689315448,304
26,APTV,151.33,0.9591927856996151,132
27,TPR,43.42,0.9500191437549238,460
28,ABMD,305.29,0.9371274959174625,65
29,KLAC,306.57,0.9343857589995568,65
30,IVZ,24.88,0.9300074072495633,803
31,MRO,13.33,0.9260841912706373,1500
32,LRCX,553.7,0.9144815754359423,36
33,NVDA,512.04,0.904441430593068,39
34,GM,53.93,0.90059257403764,370
35,F,12.84,0.8981780747767196,1557
36,DD,76.82,0.889585048407777,260
37,PH,303.82,0.8890466148623507,65
38,HAL,24.77,0.8860421772304641,807
39,NWL,24.99,0.8712180948000706,800
40,CAT,226.27,0.8634101165650763,88
41,CMG,1385.29,0.8525722842063469,14
42,SWKS,178.88,0.8494360777185541,111
43,QRVO,176.87,0.8484376894152026,113
44,CMI,269.02,0.8461741712098495,74
45,MGM,38.92,0.8399773324281954,513
46,FANG,88.7,0.8349748953012004,225
47,EXPE,171.78,0.8275477066276422,116
48,AMP,222.5,0.8258664723485157,89
49,UPS,167.7,0.825023697480426,119
